SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
159,0,0,10,protocol,7.5,320,147,0.459375,40,40,1,0.80625,0.735,0.382812,0.308824,0.229687,0.206461,0.206461,0.206461,0.206461,155.113
160,0,0,10,protocol,7.5,320,145,0.453125,40,40,1,0.8,0.725,0.3625,0.302083,0.226562,0.207143,0.207143,0.207143,0.207143,153.213
161,0,0,10,protocol,7.5,320,153,0.478125,40,40,1,0.80625,0.708333,0.371359,0.313525,0.246774,0.218571,0.218571,0.218571,0.218571,151.343
162,0,0,10,protocol,7.5,320,166,0.51875,40,40,1,0.80625,0.754545,0.395238,0.332,0.267742,0.237143,0.237143,0.237143,0.237143,149.51
163,0,0,10,protocol,7.5,320,166,0.51875,40,40,1,0.809524,0.721739,0.399038,0.332,0.265176,0.237143,0.237143,0.237143,0.237143,147.681
164,0,0,10,protocol,7.5,320,169,0.528125,40,40,1,0.816667,0.704167,0.4225,0.338,0.269968,0.246356,0.246356,0.246356,0.246356,145.89
165,0,0,10,protocol,7.5,320,187,0.584375,40,40,1,0.829787,0.779167,0.451691,0.374,0.301613,0.275,0.275,0.275,0.275,144.115
166,0,0,10,protocol,7.5,320,194,0.60625,40,40,1,0.885,0.808333,0.461905,0.388,0.312903,0.285294,0.285294,0.285294,0.285294,142.372
167,0,0,10,protocol,7.5,320,191,0.596875,40,40,1,0.875,0.795833,0.454762,0.382,0.308065,0.280882,0.280882,0.280882,0.280882,140.721
168,0,0,10,protocol,7.5,320,197,0.615625,73,73,1,0.89,0.820833,0.469048,0.394,0.317742,0.289706,0.289706,0.289706,0.289706,139.083
169,0,0,10,protocol,7.5,320,191,0.596875,80,80,1,0.87,0.795833,0.454762,0.382,0.308065,0.280882,0.280882,0.280882,0.280882,137.479
170,0,0,10,protocol,7.5,320,196,0.6125,80,80,1,0.89,0.816667,0.466667,0.385827,0.316129,0.295181,0.295181,0.295181,0.295181,135.89
171,0,0,10,protocol,7.5,320,197,0.615625,80,80,1,0.89,0.820833,0.469048,0.378846,0.317742,0.298485,0.298485,0.298485,0.298485,134.312
172,0,0,10,protocol,7.5,320,198,0.61875,80,80,1,0.895,0.825,0.471429,0.380769,0.319355,0.3,0.3,0.3,0.3,132.764
173,0,0,10,protocol,7.5,320,195,0.609375,70,70,1,0.885,0.8125,0.464286,0.383858,0.314516,0.295455,0.295455,0.295455,0.295455,131.23
174,0,0,10,protocol,7.5,320,197,0.615625,60,60,1,0.89,0.820833,0.462441,0.394,0.317742,0.298485,0.298485,0.298485,0.298485,129.72
175,0,0,10,protocol,7.5,320,192,0.6,60,60,1,0.885,0.8,0.436364,0.384,0.309677,0.284866,0.284866,0.284866,0.284866,128.217
176,0,0,10,protocol,7.5,320,193,0.603125,60,58,0.966667,0.861111,0.804167,0.438636,0.386,0.31129,0.283824,0.283824,0.283824,0.283824,126.74
177,0,0,10,protocol,7.5,320,177,0.553125,60,60,1,0.883333,0.69685,0.402273,0.354,0.288274,0.260294,0.260294,0.260294,0.260294,125.271
178,0,0,10,protocol,7.5,320,179,0.559375,60,58,0.966667,0.855556,0.716,0.406818,0.358,0.298333,0.263235,0.263235,0.263235,0.263235,123.816
